imgurl,name,tags
https://recipe52.com/wp-content/uploads/2023/07/Achari-chicken-9-300x300.jpg,Achari Chicken,"['acharichicken', 'northindian', 'pakistani', 'punjabi', 'dinner']"
https://recipe52.com/wp-content/uploads/2021/06/chana-chaat-14-360x360.jpg,Aloo Chana Chaat,"['aloochannachaat', 'channachaat', 'indian', 'pakistani', 'snack']"
https://recipe52.com/wp-content/uploads/2019/12/aloo-gosht-3-1-360x360.jpg,Aloo Gosht,"['aloogosht', 'indian', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2016/11/aloo-palak-recipe-3-1-360x360.jpg,Pakistani Aloo Palak Recipe,"['aloopalak', 'indian', 'pakistani', 'maincourse', 'vegeterian']"
https://recipe52.com/wp-content/uploads/2022/04/aloo-tikki-pakistani-3-1-300x300.jpg,Aloo Tikki Recipe,"['alootikki', 'indian', 'snack']"
https://recipe52.com/wp-content/uploads/2022/03/anda-ghotala-10_2-300x300.jpg,Khagina Recipe (Pakistani breakfast),"['breakfast', 'khagina', 'pakistani', 'breakfast']"
https://recipe52.com/wp-content/uploads/2022/02/Anday-ka-mesub-14-300x300.jpg,Egg Halwa,"['andaykamesub', 'egghalwa', 'bohracuisine', 'pakistani', 'dessert', 'snack']"
https://recipe52.com/wp-content/uploads/2021/12/Green-apple-jam-square-300x300.jpg,Apple Jam,"['appejam', 'smallbath', 'freezerjam', 'strawberryjamwithoutpectin', 'world', 'condiment']"
https://recipe52.com/wp-content/uploads/2017/01/Bajra-roti-1-300x300.jpg,Bajra Roti,"['bajraroti', 'indian', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2022/09/banana-jam-11-360x360.jpg,Banana Jam,"['bananajam', 'nopectinjam', 'world', 'breakfast']"
https://recipe52.com/wp-content/uploads/2016/12/bhindi-masala-1-360x360.gif,Bhindi Recipe (Pakistani),"['bhindi', 'pakistani', 'maincourse']"
https://recipe52.com/wp-content/uploads/2021/08/Cherry-ice-cream-9-360x360.jpg,Black Cherry Ice Cream Recipe,"['cherryicecream', 'cherry', 'nochurn', 'world', 'dessert']"
https://recipe52.com/wp-content/uploads/2020/06/Bohra-Fried-Chicken-18-360x360.jpg,Bohra Fried Chicken,"['bohrafriedchicken', 'bohras', 'sidedish', 'snack']"
https://recipe52.com/wp-content/uploads/2018/02/Kaari-Chawal-2-1-of-1-500x500.jpg,Kaari Chawal Recipe,"['bohra', 'karichawal', 'lambcurry', 'bohracuisine', 'bohras', 'maincourse']"
https://recipe52.com/wp-content/uploads/2024/03/Kaari-masala-2-360x360.jpg,Bohra Kaari Masala,"['bohraspice', 'karimasala', 'bohracuisine', 'condiment']"
https://recipe52.com/wp-content/uploads/2017/12/Karma-bohra-dessert.jpg,Bohra Kalamra Recipe,"['bohradessert', 'riceandyogurtkheer', 'bohras', 'dessert']"
https://recipe52.com/wp-content/uploads/2022/05/Khurdi-mutton-soup-360x360.jpg,Mutton Soup Recipe (Bohra Khurdi),"['khurdi', 'muttonsoup', 'bohras', 'soup']"
